,title,0,af,als,az,bar,br,bs,ca,cbk-zam,co,cs,cy,da,de,diq,eml,en,eo,es,et,eu,fi,fr,fy,ga,gl,hr,ht,hu,ia,id,ie,ig,io,is,it,jam,la,lb,lfn,lmo,lt,lv,ms,nap,nb,nl,nn,nov,pl,pt,ro,ru,sc,scn,sh,simple,sk,sl,sq,sv,tl,tr,uz,war,Total,mean
130,Per questo mi chiamo Giovanni,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,10.733333333333333
131,Q (romanzo),1.0,,,,,,,,,,,,,15.0,,,29.0,,9.0,,4.0,,,,,,,,,,,,,,,51.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,109.0,25.952380952380953
132,Ragionevoli dubbi,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,22.5
133,Resto qui,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,30.333333333333332
134,Rinascimento privato,1.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,13.066666666666666
135,Romanzo criminale,1.0,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.75
136,Sangue giusto,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.4
137,Scusa ma ti chiamo amore,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.75
138,Scusa ma ti voglio sposare,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0
139,Seta (romanzo),1.0,,,,,,,,,,,,,14.0,,,15.0,,6.0,,,,25.0,,,5.0,,,6.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,21.675
140,Severina,1.0,,,,,,,6.0,,,,,,,,,7.0,,,,,,,,,,,,,,2.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,9.114285714285714
141,Sodomie in corpo 11,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.2666666666666666
142,Sogni di sogni,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.25
143,Sostiene Pereira,1.0,,,,,,,,,,,,,,,,16.0,,18.0,,,,,,,,,,,,,,,,,36.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,74.0,20.041666666666668
144,Stabat Mater,1.0,,,,,,,109.0,,0.0,72.0,4.0,22.0,167.0,,1.0,385.0,8.0,116.0,8.0,,25.0,408.0,,,19.0,,,36.0,,19.0,,,,2.0,202.0,,4.0,,,,,,,,16.0,85.0,6.0,,157.0,40.0,,22.0,,,,0.0,,6.0,,28.0,,7.0,,,1975.0,125.49479166666667
145,Stella cadente (romanzo),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,33.75
146,Stella del mattino,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.125
147,Storia del nuovo cognome,1.0,,,,,,,,,,,,,11.0,,,,,,,,,5.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,10.875
148,Storia della bambina perduta,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,9.333333333333332
149,Storia di chi fugge e di chi resta,1.0,,,,,,,,,,,,,10.0,,,,,,,,,7.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,10.125
150,Suicidi dovuti,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.4
151,Terra!,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,22.5
152,Ti prego lasciati odiare,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.375
153,Tre metri sopra il cielo,1.0,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,15.4
154,"Tu, mio",1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.8
155,Un destino ridicolo,1.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,56.93333333333332
156,Un infinito numero,1.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.625
157,Un nulla pieno di storie,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.4
158,"Un sabato, con gli amici",1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,57.86666666666666
159,Una storia semplice,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.666666666666666
160,Venuto al mondo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,13.125
161,Vita standard di un venditore provvisorio di collant,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.75
162,Volevo i pantaloni,1.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,2.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,10.125
